res;kingdom;phylum
1,40325059579256;Animalia;Chordata
1,24803317579415;Animalia;Chordata
1,27827480001154;Animalia;Chordata
1,04974691700261;Animalia;Chordata
1,20943089892578;Animalia;Chordata
1,54064825128761;Animalia;Chordata
4,64812569475293;Animalia;Chordata
0,529691658830178;Animalia;Chordata
2,77260647105532;Animalia;Chordata
2,87556754366151;Animalia;Chordata
3,69320846699316;Animalia;Chordata
1,2759387860388;Animalia;Chordata
1,2926257466553;Animalia;Chordata
2,57882213526442;Animalia;Chordata
4,68247552263982;Animalia;Chordata
2,2277144249847;Animalia;Chordata
1,50991049413461;Animalia;Chordata
3,4571217763199;Animalia;Chordata
2,07742636154533;Animalia;Chordata
1,95082814633799;Animalia;Chordata
4,48621943745643;Animalia;Chordata
4,48621943745643;Animalia;Chordata
4,48621943745643;Animalia;Chordata
4,48621943745643;Animalia;Chordata
5,39739770662387;Animalia;Chordata
5,39739770662387;Animalia;Chordata
5,39739770662387;Animalia;Chordata
5,39739770662387;Animalia;Chordata
3,39853623984272;Animalia;Chordata
5,6542397349006;Animalia;Chordata
2,9414045700367;Animalia;Chordata
0,625306524798601;Animalia;Chordata
0,682196874769229;Animalia;Chordata
-3,74050068601935;Animalia;Chordata
4,81192244520776;Animalia;Chordata
0,0513055811855097;Animalia;Chordata
0,362208442582217;Animalia;Chordata
1,29398305280783;Animalia;Chordata
2,77528037951348;Animalia;Chordata
2,19558525119044;Animalia;Chordata
1,44233568065354;Animalia;Chordata
1,28269429287919;Animalia;Chordata
0,220964806939728;Animalia;Chordata
-2,80283941861476;Animalia;Nematoda
-3,26789627507356;Animalia;Nematoda
-1,83173021714263;Plantae;Bryophyta
-1,97280881540254;Plantae;Bryophyta
-1,34218199182393;Plantae;Tracheophyta
-2,57021712334601;Plantae;Tracheophyta
-1,34218199182393;Plantae;Tracheophyta
-1,19265025785296;Plantae;Tracheophyta
-1,42626510903447;Plantae;Tracheophyta
-1,73164675858565;Animalia;Acanthocephala
-1,76982441243247;Animalia;Annelida
-1,32618165047749;Animalia;Annelida
-1,13858303658269;Animalia;Annelida
-1,099868524402;Animalia;Annelida
-2,04069936656787;Animalia;Annelida
-2,10202054688254;Animalia;Annelida
-0,741928558156679;Animalia;Annelida
-1,00340825821444;Animalia;Annelida
-1,08728974219514;Animalia;Annelida
-1,24980867169291;Animalia;Annelida
-2,77930892120457;Animalia;Annelida
-1,34218199182393;Animalia;Annelida
-2,13378978963388;Animalia;Annelida
-1,03849957802571;Animalia;Annelida
-0,714508929517681;Animalia;Annelida
-2,18380021020854;Animalia;Annelida
-0,85419586002776;Animalia;Annelida
-1,48033233030475;Animalia;Annelida
-1,08728974219514;Animalia;Annelida
-3,15252766449448;Animalia;Annelida
-1,9057800486685;Animalia;Annelida
-1,51807265828759;Animalia;Annelida
-3,03699071842386;Animalia;Annelida
-2,25131869001404;Animalia;Annelida
-0,964559933751815;Animalia;Arthropoda
-3,55125868638082;Animalia;Arthropoda
-1,0266651203787;Animalia;Arthropoda
-1,00340825821444;Animalia;Arthropoda
-1,94295585225286;Animalia;Arthropoda
-2,62848603146998;Animalia;Arthropoda
-3,59391833495065;Animalia;Arthropoda
-3,70138067126318;Animalia;Arthropoda
-1,94295585225286;Animalia;Arthropoda
-1,91396831537961;Animalia;Arthropoda
-1,98663214529759;Animalia;Arthropoda
-2,06317222241992;Animalia;Arthropoda
-1,13858303658269;Animalia;Arthropoda
-2,78508993938903;Animalia;Arthropoda
-1,0266651203787;Animalia;Arthropoda
-2,44861770276781;Animalia;Arthropoda
-3,61274328737406;Animalia;Arthropoda
-2,66730690373264;Animalia;Arthropoda
-2,29126254652107;Animalia;Arthropoda
-0,7871851497448;Animalia;Arthropoda
